GeneID	S1768_HCT116wt_normDMSO	S1756_HCT116wt_normDMSO	S1774_HCT116wt_hypoxDMSO	S1762_HCT116wt_hypoxDMSO	S1771_HCT116wt_norm3MB	S1759_HCT116wt_norm3MB	S1777_HCT116wt_hypox3MB	S1765_HCT116wt_hypox3MB	S1769_HCT116cdk8as_normDMSO	S1757_HCT116cdk8as_normDMSO	S1775_HCT116cdk8as_hypoxDMSO	S1763_HCT116cdk8as_hypoxDMSO	S1772_HCT116cdk8as_norm3MB	S1760_HCT116cdk8as_norm3MB	S1778_HCT116cdk8as_hypox3MB	S1766_HCT116cdk8as_hypox3MB
SNHG5	2196	1047	2094	1490	1671	535	1946	1600	1540	995	1831	1584	1102	908	2222	1322
SNHG6	13042	4162	8446	5616	8161	2330	7659	5399	6327	4914	6118	5660	4599	4239	8612	5148
SNHG7	2546	2640	1648	1690	2481	1156	2385	2395	2176	2579	1337	1730	1316	1920	2233	2112
SNHG8	3371	1730	2215	1754	2381	959	2218	2040	2413	1970	1880	2164	1718	1700	3113	2235
SNHG9	805	451	296	226	600	226	383	213	583	582	280	251	374	309	332	325
SNIP1	1193	751	699	748	873	342	775	893	1061	765	611	813	542	648	733	787
SNN	1770	1185	586	633	1226	589	534	638	1827	1760	449	973	1649	1794	976	1009
SNORA1	19	18	63	38	25	16	26	32	15	23	33	38	13	13	24	28
SNORA10	256	162	161	108	167	57	139	110	222	160	223	131	149	88	169	123
SNORA11	4	4	7	2	0	0	4	6	0	1	1	1	0	3	0	2
SNORA11B	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0
SNORA11C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA12	62	34	9	3	41	10	11	6	25	22	14	2	12	16	9	6
SNORA13	13	13	27	6	9	2	7	2	12	10	20	19	3	6	14	6
SNORA14A	1	0	6	0	3	0	0	0	0	0	2	1	0	1	3	0
SNORA14B	9	5	2	9	12	5	12	15	3	7	5	2	1	4	25	9
SNORA15	1	2	4	0	2	0	2	0	3	2	1	3	4	3	1	0
SNORA16A	55	76	67	33	106	47	33	44	95	79	52	39	43	42	58	49
SNORA16B	0	0	3	0	0	0	2	4	0	0	0	4	0	1	2	0
SNORA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA18	378	275	684	608	295	106	606	509	258	187	681	807	195	157	575	501
SNORA19	4	2	1	1	4	0	2	1	6	1	1	3	0	2	0	0
SNORA20	11	6	6	4	10	4	2	1	9	3	5	6	2	6	2	2
SNORA21	47	36	98	78	92	23	86	57	49	45	59	50	50	28	91	86
SNORA22	11	1	4	1	10	0	1	2	0	0	0	1	1	2	0	2
SNORA23	17	6	21	19	21	10	13	11	12	17	48	28	6	12	17	21
SNORA24	63	25	29	15	62	9	20	16	49	28	20	11	22	35	18	14
SNORA25	153	120	267	152	97	38	175	147	102	73	177	259	66	61	169	182
SNORA26	31	38	8	4	11	7	11	4	22	22	9	14	6	12	3	7
SNORA27	42	26	56	19	37	11	22	20	27	22	66	28	14	23	41	16
SNORA28	5	4	17	1	4	0	2	2	5	5	8	12	3	1	3	0
SNORA29	7	10	34	9	15	9	20	10	34	12	23	9	10	5	20	21
SNORA2A	0	0	5	2	3	2	2	3	6	1	0	1	0	1	2	0
SNORA2B	2	1	0	0	2	0	0	0	0	2	0	2	0	0	2	0
SNORA30	1	0	1	3	0	0	0	1	0	1	0	0	0	1	2	1
SNORA31	6	11	30	17	8	9	18	15	14	3	40	27	1	5	16	38
SNORA32	104	68	158	119	105	31	130	105	55	52	171	120	42	39	92	70
SNORA33	110	57	101	37	95	41	63	32	69	44	104	46	54	33	50	28
SNORA34	2	2	5	0	0	1	0	1	2	0	0	0	0	0	0	0
SNORA35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA36A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA36B	0	0	5	0	0	0	0	1	1	0	0	0	0	1	2	0
SNORA36C	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0
SNORA37	0	1	0	1	0	0	0	7	1	0	3	0	0	1	3	4
SNORA38	0	5	4	2	1	1	4	3	0	2	0	0	1	2	3	5
SNORA38B	4	3	9	2	6	0	2	6	4	3	14	1	9	5	3	65
SNORA4	137	92	141	67	79	23	97	84	84	55	139	82	45	32	82	58
SNORA40	248	103	322	200	173	50	256	197	156	88	307	262	90	83	260	211
SNORA41	20	14	18	10	16	4	13	13	21	26	16	21	27	14	14	21
SNORA43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA44	81	90	72	51	67	52	76	63	97	70	107	69	66	92	69	65
SNORA45A	39	22	24	8	29	9	26	13	33	28	37	44	11	27	15	9
SNORA45B	32	20	33	14	44	16	28	14	19	34	31	17	7	20	25	17
SNORA46	7	1	1	1	0	0	0	3	1	0	1	0	0	2	0	0
SNORA47	5	3	0	2	1	4	3	1	10	0	0	1	4	3	4	3
SNORA48	18	32	103	39	27	19	28	53	26	28	73	61	7	28	46	34
SNORA49	0	2	2	0	0	0	3	2	3	2	0	1	1	0	0	1
SNORA51	27	32	9	9	31	15	10	15	36	32	10	5	11	26	8	8
SNORA52	82	96	55	42	123	42	71	37	75	100	85	52	57	73	54	87
SNORA53	17	7	41	15	16	9	21	14	19	12	27	20	0	9	15	26
SNORA54	3	2	12	1	5	0	17	7	1	4	5	2	0	0	12	4
SNORA55	28	11	3	11	18	9	8	12	24	15	2	3	11	11	5	5
SNORA56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA57	141	115	117	81	123	56	86	52	113	107	84	74	51	72	57	33
SNORA58	4	0	5	6	7	0	3	4	1	2	1	2	2	1	4	3
SNORA59A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA59B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA5A	17	9	28	5	3	15	3	9	9	23	6	11	10	27	5	2
SNORA5B	9	6	5	11	1	1	16	5	4	1	4	4	3	4	6	4
SNORA5C	39	35	24	33	30	16	25	26	19	23	10	20	22	31	37	23
SNORA6	148	95	94	56	141	38	80	64	117	67	85	47	84	81	113	37
SNORA60	5	3	0	4	2	16	6	1	4	4	1	0	1	1	3	3
SNORA61	167	253	157	166	196	137	185	229	180	227	149	231	160	193	173	229
SNORA62	73	40	52	41	40	14	52	20	49	27	54	22	30	29	38	35
SNORA63	98	42	102	39	80	28	106	107	42	39	80	63	34	38	67	86
SNORA64	179	169	175	139	168	84	156	179	149	201	224	151	69	137	182	203
SNORA65	74	54	45	24	57	32	50	39	58	53	47	60	42	34	58	28
SNORA66	35	18	23	24	18	8	34	28	33	22	18	42	17	25	38	19
SNORA67	241	194	278	235	209	85	324	211	128	155	285	246	85	111	227	153
SNORA68	6	4	10	8	11	7	8	8	12	17	13	12	5	16	5	92
SNORA69	13	17	6	1	13	1	18	7	10	9	9	8	14	4	8	5
SNORA70	257	275	399	266	255	103	346	258	221	212	355	280	108	149	295	179
SNORA70B	0	2	0	0	2	0	1	0	1	1	0	1	0	1	5	0
SNORA70C	1	1	1	0	1	0	2	1	5	0	0	0	1	1	0	0
SNORA70D	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0
SNORA70E	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0
SNORA70F	0	0	2	0	1	0	1	0	0	0	0	0	3	2	0	0
SNORA70G	2	1	3	1	0	4	1	2	5	1	6	0	1	0	0	0
SNORA71A	15	7	16	7	21	0	8	6	3	14	8	1	4	6	10	17
SNORA71B	9	17	7	13	8	5	13	36	11	12	6	11	15	5	12	13
SNORA71C	14	21	17	26	7	4	19	33	22	34	15	33	20	12	34	23
SNORA71D	6	4	2	2	3	3	0	2	3	1	2	0	1	0	0	0
SNORA71E	8	1	0	7	0	0	2	0	5	2	1	0	3	2	4	7
SNORA72	12	19	30	4	19	13	8	16	12	8	29	65	6	28	26	46
SNORA74A	14	12	17	3	28	8	9	8	17	11	12	4	17	13	16	27
SNORA74B	0	1	1	0	0	0	0	3	5	0	1	0	0	2	0	0
SNORA75	18	8	16	11	14	7	21	12	14	7	34	12	3	9	20	9
SNORA76A	5	2	9	13	1	1	11	12	1	0	13	10	4	2	7	17
SNORA76C	553	434	440	484	552	206	395	518	275	305	273	260	196	240	218	209
SNORA77	2	4	8	9	9	2	5	9	14	5	5	3	2	6	11	6
SNORA78	3	16	1	3	7	4	5	5	18	7	1	4	4	4	4	1
SNORA79	4	0	0	0	7	0	0	1	0	1	0	0	0	0	0	1
SNORA7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA7B	8	3	5	5	6	4	1	1	3	5	2	4	6	5	10	0
SNORA8	202	103	465	354	191	52	417	291	123	92	526	327	89	86	440	349
SNORA80A	1	0	1	0	0	3	3	1	0	1	0	0	1	0	1	0
SNORA80B	2	0	3	1	3	3	2	2	4	3	4	3	2	2	3	1
SNORA80E	7	1	12	2	12	2	3	5	3	3	4	0	1	2	7	2
SNORA81	123	63	169	61	96	20	104	52	97	62	176	90	54	53	85	55
SNORA84	7	9	9	1	6	2	2	12	8	3	0	8	1	4	0	1
SNORA9	27	47	39	38	49	39	49	58	48	58	64	75	36	58	54	97
SNORD10	57	103	150	77	43	31	114	100	38	70	128	133	27	50	121	84
SNORD100	14	26	40	25	33	12	27	22	23	25	40	66	14	9	20	19
SNORD101	12	8	11	7	7	4	7	5	9	2	4	4	6	2	5	2
SNORD102	51	24	66	27	49	9	76	34	38	29	45	47	36	13	41	20
SNORD103A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD103B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD104	382	347	428	261	379	155	385	266	394	343	383	409	244	254	422	251
SNORD105	1	2	1	0	0	1	0	4	0	3	6	1	1	3	0	0
SNORD105B	0	1	0	2	0	0	2	3	0	1	0	5	1	0	0	0
SNORD107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD109A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD109B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD11	4	4	3	2	8	1	4	3	2	3	0	1	1	0	8	0
SNORD110	124	56	50	16	133	27	58	47	127	68	36	19	48	68	34	27
SNORD111	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0
SNORD111B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SNORD113-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-12	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
SNORD114-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD114-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SNORD114-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
